temp,core freq,arm freq,volt,sec
59.0,500.000992,1500.345728,0.8563,1144
58.0,199.99512,600.16992,0.835,1146
59.0,500.000992,1500.398464,0.8563,1148
59.0,500.000992,1500.398464,0.8563,1150
58.0,499.987808,1500.345728,0.8563,1152
59.0,500.000992,1500.398464,0.8563,1154
59.0,500.000992,1500.345728,0.8563,1156
58.0,200.008304,750.199232,0.8563,1158
58.0,199.99512,600.16992,0.835,1160
59.0,500.000992,1500.345728,0.8563,1162
58.0,499.987808,1500.345728,0.8563,1164
59.0,199.99512,600.16992,0.835,1166
59.0,500.000992,1500.398464,0.8563,1168
59.0,500.000992,1500.345728,0.8563,1170
58.0,199.99512,600.117184,0.8563,1172
57.0,200.008304,600.117184,0.835,1174
58.0,500.000992,1500.398464,0.8563,1176
58.0,500.000992,1500.345728,0.8563,1178
59.0,199.99512,600.16992,0.835,1180
59.0,500.000992,1500.345728,0.8563,1182
58.0,500.000992,1500.345728,0.8563,1184
58.0,250.000496,750.199232,0.8563,1186
58.0,500.000992,1500.345728,0.8563,1188
59.0,500.000992,1500.345728,0.8563,1190
59.0,499.987808,1500.345728,0.8563,1192
58.0,500.000992,1500.345728,0.8563,1194
59.0,500.000992,1500.345728,0.8563,1196
60.0,500.000992,1500.345728,0.8563,1198
59.0,500.000992,1500.398464,0.8563,1200
59.0,500.000992,1500.345728,0.8563,1202
57.0,199.99512,600.16992,0.835,1204
58.0,199.99512,750.146496,0.8563,1206
58.0,200.008304,600.16992,0.835,1208
57.0,200.008304,750.199232,0.8563,1210
58.0,200.008304,600.16992,0.835,1212
58.0,500.000992,1500.345728,0.8563,1214
58.0,500.000992,1500.398464,0.8563,1216
58.0,199.99512,600.16992,0.835,1218
58.0,500.000992,1500.345728,0.8563,1220
59.0,500.000992,1500.398464,0.8563,1222
58.0,199.99512,600.16992,0.835,1224
59.0,500.000992,1500.345728,0.8563,1226
59.0,500.000992,1500.398464,0.8563,1228
58.0,199.99512,600.117184,0.8563,1230
58.0,500.000992,1500.398464,0.8563,1232
59.0,500.000992,1500.398464,0.8563,1234
58.0,200.008304,600.16992,0.835,1236
58.0,199.99512,600.16992,0.835,1238
59.0,500.000992,1500.345728,0.8563,1240
59.0,500.000992,1500.398464,0.8563,1242
58.0,199.99512,600.117184,0.8563,1244
57.0,199.99512,600.117184,0.835,1246
58.0,500.000992,1500.398464,0.8563,1248
59.0,500.000992,1500.398464,0.8563,1250
58.0,250.000496,750.199232,0.8563,1252
59.0,199.99512,600.16992,0.835,1254
58.0,500.000992,1500.398464,0.8563,1256
58.0,499.987808,1500.398464,0.8563,1258
58.0,199.99512,600.117184,0.835,1260
58.0,200.008304,600.16992,0.835,1262
58.0,500.000992,1500.398464,0.8563,1264
58.0,500.000992,1500.345728,0.8563,1266
59.0,200.008304,600.16992,0.835,1268
58.0,500.000992,1500.345728,0.8563,1270
59.0,499.987808,1500.345728,0.8563,1272
57.0,199.99512,600.16992,0.835,1274
57.0,199.99512,600.16992,0.835,1276
59.0,500.000992,1500.345728,0.8563,1278
58.0,500.000992,1500.398464,0.8563,1280
58.0,199.99512,600.16992,0.835,1282
58.0,200.008304,600.16992,0.8563,1284
57.0,199.99512,600.16992,0.8563,1286
57.0,200.008304,600.117184,0.835,1288
